Country,Region,Party,Comment,Interim leader (0= No; 1 =Yes),Year became leader,Year ended as leader,Party leader,Female leader (0= male; 1 = female),Party family
Australia,Australian Capital Territory,Greens,,0,1998,2004,Kerrie Tucker,1,Greens
Australia,Australian Capital Territory,Greens,,0,2004,2008,Deb Foskey,1,Greens
Australia,Australian Capital Territory,Greens,,0,2008,2012,Meredith Hunter,1,Greens
Australia,Australian Capital Territory,Greens,,0,2012,2026,Shane Rattenbury,0,Greens
Australia,Australian Capital Territory,Greens,,1,2026,,Jo Clay,1,Greens
Australia,New South Wales,Greens,,,,,,,Greens
Australia,New South Wales,Greens,,,,,,,Greens
Australia,New South Wales,Greens,,,,,,,Greens
Australia,New South Wales,Greens,,,,,,,Greens
Australia,Northern Territory,Greens,,,,,,,Greens
Australia,Northern Territory,Greens,,,,,,,Greens
Australia,Northern Territory,Greens,,,,,,,Greens
Australia,Northern Territory,Greens,,,,,,,Greens
Australia,Queensland,Greens,,,,,,,Greens
Australia,Queensland,Greens,,,,,,,Greens
Australia,Queensland,Greens,,,,,,,Greens
Australia,Queensland,Greens,,,,,,,Greens
Australia,Queensland,Greens,,,,,,,Greens
Australia,Queensland,Greens,,,,,,,Greens
Australia,South Australia,Greens,,0,2006,2021,Mark Parnell,,Greens
Australia,South Australia,Greens,Co-Leader with Robert Simms,0,2021,2025,Tammy Franks,1,Greens
Australia,South Australia,Greens,Co-Leader with Tammy Franks,0,2022,,Robert Simms,0,Greens
Australia,Tasmania,Greens,,0,1989,1993,Bob Brown,0,Greens
Australia,Tasmania,Greens,,0,1993,1998,Christine Milne,1,Greens
Australia,Tasmania,Greens,,0,1998,2008,Peg Putt,1,Greens
Australia,Tasmania,Greens,,0,2008,2014,Nick McKim,0,Greens
Australia,Tasmania,Greens,,0,2014,2015,Kim Booth,0,Greens
Australia,Tasmania,Greens,,0,2015,2023,Cassy O'Connor,1,Greens
Australia,Tasmania,Greens,,0,2023,,Rosalie Woodruff,1,Greens
Australia,Victoria,Greens,,0,2010,2017,Greg Barber,0,Greens
Australia,Victoria,Greens,,0,2017,2024,Samantha Ratnam,1,Greens
Australia,Victoria,Greens,,0,2024,,Ellen Sandell,1,Greens
Australia,Western Australia,Greens,,0,2017,2021,Alison Xamon,1,Greens
Australia,Western Australia,Greens,Formal Parliamentary Leader since 2025,0,2021,,Brad Pettitt,0,Greens
