Country,Region,Party,Comment,Interim leader (0= No; 1 =Yes),Year became leader,Year ended as leader,Party leader,Female leader (0= male; 1 = female),Party family
Australia,Australian Capital Territory,Liberal Party,,0,1989,1991,Trevor Kaine,0,Liberal Party
Australia,Australian Capital Territory,Liberal Party,,0,1991,1991,Gary Humphries,0,Liberal Party
Australia,Australian Capital Territory,Liberal Party,,0,1991,1993,Trevor Kaine,0,Liberal Party
Australia,Australian Capital Territory,Liberal Party,,0,1993,2000,Kate Carnell,1,Liberal Party
Australia,Australian Capital Territory,Liberal Party,,0,2000,2002,Gary Humphries,0,Liberal Party
Australia,Australian Capital Territory,Liberal Party,,0,2002,2006,Brendan Smyth,0,Liberal Party
Australia,Australian Capital Territory,Liberal Party,,0,2006,2007,Bill Stefaniak,0,Liberal Party
Australia,Australian Capital Territory,Liberal Party,,0,2007,2013,Zed Seselja,0,Liberal Party
Australia,Australian Capital Territory,Liberal Party,,0,2013,2016,Jeremy Hanson,0,Liberal Party
Australia,Australian Capital Territory,Liberal Party,,0,2016,2020,Alistair Coe,0,Liberal Party
Australia,Australian Capital Territory,Liberal Party,,0,2020,2024,Elizabeth Lee,1,Liberal Party
Australia,Australian Capital Territory,Liberal Party,,0,2024,2025,Leanne Castley,1,Liberal Party
Australia,Australian Capital Territory,Liberal Party,,0,2025,,Mark Parton,0,Liberal Party
Australia,New South Wales,Liberal Party,,0,1945,1945,Reginald Weaver,0,Liberal Party
Australia,New South Wales,Liberal Party,,0,1945,1946,Alexader Mair,0,Liberal Party
Australia,New South Wales,Liberal Party,,0,1946,1954,Vernon Treatt,0,Liberal Party
Australia,New South Wales,Liberal Party,,0,1954,1955,Murray Robson ,0,Liberal Party
Australia,New South Wales,Liberal Party,,0,1955,1959, Pat Morton ,0,Liberal Party
Australia,New South Wales,Liberal Party,,0,1959,1975,Robert Askin ,0,Liberal Party
Australia,New South Wales,Liberal Party,,0,1975,1976,Tom Lewis ,0,Liberal Party
Australia,New South Wales,Liberal Party,,0,1976,1977,Eric Willis ,0,Liberal Party
Australia,New South Wales,Liberal Party,,0,1977,1978,Peter Coleman ,0,Liberal Party
Australia,New South Wales,Liberal Party,,0,1978,1981,John Mason ,0,Liberal Party
