Country,Region,Party family,Party,Comment,Interim leader (0= No; 1 =Yes),Year became leader,Year ended as leader,Party leader,Female leader (0= male; 1 = female)
Australia,Australian Capital Territory,National Party,National Party,No current parliamentary leader.,,,,,
Australia,New South Wales,National Party,Progressive Party / Country Party,,0,1922,1925,Michael Bruxner,0
Australia,New South Wales,National Party,Country Party,,0,1925,1932,Ernest Buttenshaw,0
Australia,New South Wales,National Party,Country Party,,0,1932,1958,Michael Bruxner,0
Australia,New South Wales,National Party,Country Party,,0,1958,1959,Davis Hughes,0
Australia,New South Wales,National Party,Country Party,,0,1959,1975,Charles Cutler,0
Australia,New South Wales,National Party,Country Party / National Country Party,,0,1975,1985,Leon Punch,0
Australia,New South Wales,National Party,National Country Party / National Party,,0,1985,1993,Wal Murray,0
Australia,New South Wales,National Party,National Party,,0,1993,1999,Ian Armstrong,0
Australia,New South Wales,National Party,National Party,,0,1999,2003,George Souris,0
Australia,New South Wales,National Party,National Party,,0,2003,2014,Andrew Stoner,0
Australia,New South Wales,National Party,National Party,,0,2014,2016,Troy Grant,0
Australia,New South Wales,National Party,National Party,,0,2016,2021,John Barilaro,0
Australia,New South Wales,National Party,National Party,,0,2021,2023,Paul Toole,0
Australia,New South Wales,National Party,National Party,,0,2023,2025,Dugald Saunders,0
Australia,New South Wales,National Party,National Party,,0,2025,,Gurmesh Singh,0
Australia,Northern Territory,National Party,Country Liberal Party,Regional party affiliated with both the Liberal Party and the National Party of Australia.,0,1974,1977,Goff Letts,0
Australia,Northern Territory,National Party,Country Liberal Party,,0,1977,1984,Paul Everingham,0
Australia,Northern Territory,National Party,Country Liberal Party,,0,1984,1986,Ian Tuxworth,0
Australia,Northern Territory,National Party,Country Liberal Party,,0,1986,1988,Stephen Hatton,0
Australia,Northern Territory,National Party,Country Liberal Party,,0,1988,1995,Marshall Perron,0
Australia,Northern Territory,National Party,Country Liberal Party,,0,1995,1999,Shane Stone,0
Australia,Northern Territory,National Party,Country Liberal Party,,0,1999,2003,Denis Burke,0
Australia,Northern Territory,National Party,Country Liberal Party,,0,2003,2005,Terry Mills,0
Australia,Northern Territory,National Party,Country Liberal Party,,0,2005,2005,Denis Burke,0
Australia,Northern Territory,National Party,Country Liberal Party,,0,2005,2008,Jodeen Carney,1
Australia,Northern Territory,National Party,Country Liberal Party,,0,2008,2013,Terry Mills,0
Australia,Northern Territory,National Party,Country Liberal Party,,0,2013,2016,Adam Giles,0
Australia,Northern Territory,National Party,Country Liberal Party,,0,2016,2020,Gary Higgins,0
Australia,Northern Territory,National Party,Country Liberal Party,,0,2020,,Lia Finocchiaro,1
Australia,Queensland,National Party,Country Party,,0,1915,1918,John Appel,0
Australia,Queensland,National Party,Country Party,,0,1920,1923,William Vowles,0
Australia,Queensland,National Party,Country Party / Country and Progressive National Party,,0,1923,1936,Arthur Edward Moore,0
Australia,Queensland,National Party,Country Party,,0,1936,1941,Ted Maher,0
Australia,Queensland,National Party,Country-National Organisation / Country Party,,0,1941,1968,Frank Nicklin,0
Australia,Queensland,National Party,Country Party,,0,1968,1968,Jack Pizzey,0
Australia,Queensland,National Party,Country Party / National Country Party / National Party,,0,1968,1987,Joh Bjelke-Petersen,0
Australia,Queensland,National Party,National Party,,0,1987,1989,Mike Ahern,0
Australia,Queensland,National Party,National Party,,0,1989,1991,Russell Cooper,0
Australia,Queensland,National Party,National Party,,0,1991,2001,Rob Borbidge,0
Australia,Queensland,National Party,National Party,,0,2001,2003,Mike Horan,0
Australia,Queensland,National Party,National Party,,0,2003,2006,Lawrence Springborg,0
Australia,Queensland,National Party,National Party,,0,2006,2008,Jeff Seeney,0
Australia,Queensland,National Party,National Party,,0,2008,2008,Lawrence Springborg,0
Australia,Queensland,National Party,Liberal National Party,Merger of the regional branches of the Liberal Party and the National Party.,0,2008,2009,Lawrence Springborg,0
