Country,Region,Comments,Party,Interim leader (0= No; 1 =Yes),Year became leader,Year ended as leader,Party leader,Female leader (0= male; 1 = female),Party family
Australia,Australian Capital Territory,,One Nation,0,1997,1997,Shaun Nelson,0,One Nation
Australia,Australian Capital Territory,,One Nation,0,1997,1998,Chris Spence,0,One Nation
Australia,Australian Capital Territory,,One Nation,,,,,,One Nation
Australia,Australian Capital Territory,,One Nation,,,,,,One Nation
Australia,Australian Capital Territory,,One Nation,,,,,,One Nation
Australia,Australian Capital Territory,,One Nation,,,,,,One Nation
Australia,New South Wales,,One Nation,0,1999,2000,David Oldfield,0,One Nation
Australia,New South Wales,,One Nation,0,2010,2018,Brian Burston,0,One Nation
Australia,New South Wales,,One Nation,0,2018,2023,Mark Latham,0,One Nation
Australia,New South Wales,,One Nation,0,2023,2024,Tania Mihailuk,1,One Nation
Australia,Northern Territory,,One Nation,,,,,,One Nation
Australia,Northern Territory,,One Nation,,,,,,One Nation
Australia,Northern Territory,,One Nation,,,,,,One Nation
Australia,Northern Territory,,One Nation,,,,,,One Nation
Australia,Queensland,,One Nation,0,1998,1998,Heather Hill,1,One Nation
Australia,Queensland,,One Nation,0,1998,1999,Bill Feldman,0,One Nation
Australia,Queensland,,One Nation,0,2001,2004,Bill Flynn,0,One Nation
Australia,Queensland,,One Nation,0,2004,2009,Rosa Lee Long,1,One Nation
Australia,Queensland,,One Nation,0,2017,2019,Steve Dickson,0,One Nation
Australia,Queensland,,One Nation,0,2024,,James Ashby,0,One Nation
Australia,South Australia,,One Nation,0,1998,1998,Rodney Spencer,0,One Nation
Australia,South Australia,,One Nation,0,2021,2025,Jennifer Game,1,One Nation
Australia,South Australia,,One Nation,0,2026,,Cory Bernardi,0,One Nation
Australia,South Australia,,One Nation,,,,,,One Nation
Australia,Tasmania,,One Nation,,,,,,One Nation
Australia,Tasmania,,One Nation,,,,,,One Nation
Australia,Tasmania,,One Nation,,,,,,One Nation
Australia,Tasmania,,One Nation,,,,,,One Nation
Australia,Victoria,,One Nation,0,1997,1998,Andrew Carne,0,One Nation
Australia,Victoria,,One Nation,0,1998,1998,Robyn Spencer,1,One Nation
Australia,Victoria,,One Nation,,,,,,One Nation
Australia,Victoria,,One Nation,,,,,,One Nation
Australia,Western Australia,,One Nation,0,2001,2004,John Fischer,0,One Nation
Australia,Western Australia,,One Nation,0,2004,2017,Ron McLean,0,One Nation
Australia,Western Australia,,One Nation,0,2017,2023,Colin Tincknell,0,One Nation
Australia,Western Australia,,One Nation,0,2023,,Rod Caddies,0,One Nation
