Country,Region,Party territorial unit,Regional Party Name,Comment,Interim,Year became party chair,Year ended as party chair,Party chair,Female chair,National Party Name,Vernacular Party Name,Co-leadership
Austria,Burgenland,Burgenland,Freedom Party of Burgenland,Regional branch established in 1956.,0,1956,1958,Emil Neubauer,0,Freedom Party of Austria (FPÖ),FPÖ Burgenland,0
Austria,Burgenland,Burgenland,Freedom Party of Burgenland,,0,1958,1958,Eduard Nicka,0,Freedom Party of Austria (FPÖ),FPÖ Burgenland,0
Austria,Burgenland,Burgenland,Freedom Party of Burgenland,,0,1958,1978,Richard Rezar,0,Freedom Party of Austria (FPÖ),FPÖ Burgenland,0
Austria,Burgenland,Burgenland,Freedom Party of Burgenland,,0,1978,1979,Hans Bucher,0,Freedom Party of Austria (FPÖ),FPÖ Burgenland,0
Austria,Burgenland,Burgenland,Freedom Party of Burgenland,,0,1979,1983,Wolfgang Pelikan,0,Freedom Party of Austria (FPÖ),FPÖ Burgenland,0
Austria,Burgenland,Burgenland,Freedom Party of Burgenland,,0,1983,1988,Paul Schiessler,0,Freedom Party of Austria (FPÖ),FPÖ Burgenland,0
Austria,Burgenland,Burgenland,Freedom Party of Burgenland,,0,1988,2000,Wolfgang Rauter,0,Freedom Party of Austria (FPÖ),FPÖ Burgenland,0
Austria,Burgenland,Burgenland,Freedom Party of Burgenland,,0,2000,2005,Stefan Salzl,0,Freedom Party of Austria (FPÖ),FPÖ Burgenland,0
Austria,Burgenland,Burgenland,Freedom Party of Burgenland,,0,2005,2020,Johann Tschürtz,0,Freedom Party of Austria (FPÖ),FPÖ Burgenland,0
Austria,Burgenland,Burgenland,Freedom Party of Burgenland,,1,2020,2020,Alexander Petschnig,0,Freedom Party of Austria (FPÖ),FPÖ Burgenland,0
Austria,Burgenland,Burgenland,Freedom Party of Burgenland,,0,2020,2020,Norbert Hofer,0,Freedom Party of Austria (FPÖ),FPÖ Burgenland,0
Austria,Burgenland,Burgenland,Freedom Party of Burgenland,Interim until elected party chair in 2020.,0,2020,,Alexander Petschnig,0,Freedom Party of Austria (FPÖ),FPÖ Burgenland,0
Austria,Carinthia,Carinthia,Freedom Party of Carinthia,Regional branch established in 1956.,0,1956,1965,Reinhold Huber,0,Freedom Party of Austria (FPÖ),FPÖ Kärnten,0
Austria,Carinthia,Carinthia,Freedom Party of Carinthia,,0,1965,1965,Hanns Rader,0,Freedom Party of Austria (FPÖ),FPÖ Kärnten,0
Austria,Carinthia,Carinthia,Freedom Party of Carinthia,,0,1966,1972,Hellmut Geringer,0,Freedom Party of Austria (FPÖ),FPÖ Kärnten,0
Austria,Carinthia,Carinthia,Freedom Party of Carinthia,,0,1972,1975,Oskar Huber,0,Freedom Party of Austria (FPÖ),FPÖ Kärnten,0
Austria,Carinthia,Carinthia,Freedom Party of Carinthia,,0,1975,1983,Mario Ferrari-Brunnenfeld,0,Freedom Party of Austria (FPÖ),FPÖ Kärnten,0
Austria,Carinthia,Carinthia,Freedom Party of Carinthia,,0,1983,1998,Jörg Haider,0,Freedom Party of Austria (FPÖ),FPÖ Kärnten,0
Austria,Carinthia,Carinthia,Freedom Party of Carinthia,,0,1998,2001,Jörg Freunschlag,0,Freedom Party of Austria (FPÖ),FPÖ Kärnten,0
Austria,Carinthia,Carinthia,Freedom Party of Carinthia,,0,2001,2005,Martin Strutz,0,Freedom Party of Austria (FPÖ),FPÖ Kärnten,0
Austria,Carinthia,Carinthia,Freedom Party of Carinthia,Regional organization reconstituted in 2005 following the transfer of most of the former organization to the BZÖ.,0,2005,2009,Franz Schwager,0,Freedom Party of Austria (FPÖ),FPÖ Kärnten,0
Austria,Carinthia,Carinthia,Freedom Party of Carinthia,,0,2009,2010,Harald Jannach,0,Freedom Party of Austria (FPÖ),FPÖ Kärnten,0
Austria,Carinthia,Carinthia,Freedom Party of Carinthia,,0,2010,2013,Christian Leyroutz,0,Freedom Party of Austria (FPÖ),FPÖ Kärnten,0
Austria,Carinthia,Carinthia,Freedom Party of Carinthia,,0,2013,2016,Christian Ragger,0,Freedom Party of Austria (FPÖ),FPÖ Kärnten,0
Austria,Carinthia,Carinthia,Freedom Party of Carinthia,,0,2016,2021,Gernot Darmann,0,Freedom Party of Austria (FPÖ),FPÖ Kärnten,0
Austria,Carinthia,Carinthia,Freedom Party of Carinthia,Interim until elected party chair in 2021.,0,2021,,Erwin Angerer,0,Freedom Party of Austria (FPÖ),FPÖ Kärnten,0
Austria,Lower Austria,Lower Austria,Freedom Party of Lower Austria,Regional branch established in 1955.,0,1956,1970,Wilhelm Kindl,0,Freedom Party of Austria (FPÖ),FPÖ Niederösterreich,0
Austria,Lower Austria,Lower Austria,Freedom Party of Lower Austria,,0,1970,1976,Friedrich Rotter-le Beau,0,Freedom Party of Austria (FPÖ),FPÖ Niederösterreich,0
Austria,Lower Austria,Lower Austria,Freedom Party of Lower Austria,,0,1976,1989,Harald Ofner,0,Freedom Party of Austria (FPÖ),FPÖ Niederösterreich,0
Austria,Lower Austria,Lower Austria,Freedom Party of Lower Austria,,0,1990,1992,Josef Hintermayer,0,Freedom Party of Austria (FPÖ),FPÖ Niederösterreich,0
Austria,Lower Austria,Lower Austria,Freedom Party of Lower Austria,,0,1992,1998,Bernhard Gratzer,0,Freedom Party of Austria (FPÖ),FPÖ Niederösterreich,0
Austria,Lower Austria,Lower Austria,Freedom Party of Lower Austria,,0,1998,2000,Hans-Jörg Schimanek,0,Freedom Party of Austria (FPÖ),FPÖ Niederösterreich,0
Austria,Lower Austria,Lower Austria,Freedom Party of Lower Austria,,0,2000,2003,Ernest Windholz,0,Freedom Party of Austria (FPÖ),FPÖ Niederösterreich,0
Austria,Lower Austria,Lower Austria,Freedom Party of Lower Austria,,0,2003,2013,Barbara Rosenkranz,1,Freedom Party of Austria (FPÖ),FPÖ Niederösterreich,0
Austria,Lower Austria,Lower Austria,Freedom Party of Lower Austria,,0,2013,2019,Walter Rosenkranz,0,Freedom Party of Austria (FPÖ),FPÖ Niederösterreich,0
Austria,Lower Austria,Lower Austria,Freedom Party of Lower Austria,,0,2019,,Udo Landbauer,0,Freedom Party of Austria (FPÖ),FPÖ Niederösterreich,0
Austria,Upper Austria,Upper Austria,Freedom Party of Upper Austria,Regional organization established in 1955.,0,1955,1972,Friedrich Peter,0,Freedom Party of Austria (FPÖ),FPÖ Oberösterreich,0
Austria,Upper Austria,Upper Austria,Freedom Party of Upper Austria,,0,1972,1989,Horst Schender,0,Freedom Party of Austria (FPÖ),FPÖ Oberösterreich,0
Austria,Upper Austria,Upper Austria,Freedom Party of Upper Austria,,0,1989,1992,Norbert Gugerbauer,0,Freedom Party of Austria (FPÖ),FPÖ Oberösterreich,0
Austria,Upper Austria,Upper Austria,Freedom Party of Upper Austria,,0,1992,2002,Hans Achatz,0,Freedom Party of Austria (FPÖ),FPÖ Oberösterreich,0
Austria,Upper Austria,Upper Austria,Freedom Party of Upper Austria,,0,2002,2005,Günther Steinkellner,0,Freedom Party of Austria (FPÖ),FPÖ Oberösterreich,0
Austria,Upper Austria,Upper Austria,Freedom Party of Upper Austria,Interim until elected party chair in 2006,0,2005,2010,Lutz Weinzinger,0,Freedom Party of Austria (FPÖ),FPÖ Oberösterreich,0
Austria,Upper Austria,Upper Austria,Freedom Party of Upper Austria,,0,2010,,Manfred Haimbuchner,0,Freedom Party of Austria (FPÖ),FPÖ Oberösterreich,0
Austria,Salzburg,Salzburg,Freedom Party of Salzburg,Regional branch established in 1956.,0,1956,1965,Gustav Zeillinger,0,Freedom Party of Austria (FPÖ),FPÖ Salzburg,0
Austria,Salzburg,Salzburg,Freedom Party of Salzburg,,0,1965,1975,Walter Leitner,0,Freedom Party of Austria (FPÖ),FPÖ Salzburg,0
Austria,Salzburg,Salzburg,Freedom Party of Salzburg,,0,1975,1982,Waldemar Steiner,0,Freedom Party of Austria (FPÖ),FPÖ Salzburg,0
Austria,Salzburg,Salzburg,Freedom Party of Salzburg,,0,1982,1985,Sepp Wiesner,0,Freedom Party of Austria (FPÖ),FPÖ Salzburg,0
Austria,Salzburg,Salzburg,Freedom Party of Salzburg,,0,1985,1987,Friedhelm Frischenschlager,0,Freedom Party of Austria (FPÖ),FPÖ Salzburg,0
Austria,Salzburg,Salzburg,Freedom Party of Salzburg,,0,1987,1992,Volker Winkler,0,Freedom Party of Austria (FPÖ),FPÖ Salzburg,0
Austria,Salzburg,Salzburg,Freedom Party of Salzburg,,0,1992,2013,Karl Schnell,0,Freedom Party of Austria (FPÖ),FPÖ Salzburg,0
Austria,Salzburg,Salzburg,Freedom Party of Salzburg,,0,2013,2015,Rupert Doppler,0,Freedom Party of Austria (FPÖ),FPÖ Salzburg,0
Austria,Salzburg,Salzburg,Freedom Party of Salzburg,,1,2015,2016,Andreas Schöppl,0,Freedom Party of Austria (FPÖ),FPÖ Salzburg,0
Austria,Salzburg,Salzburg,Freedom Party of Salzburg,,0,2016,,Marlene Svazek,1,Freedom Party of Austria (FPÖ),FPÖ Salzburg,0
Austria,Styria,Styria,Freedom Party of Styria,Regional branch established in 1956.,0,1956,1963,Alexander Götz Sr.,0,Freedom Party of Austria (FPÖ),FPÖ Steiermark,0
Austria,Styria,Styria,Freedom Party of Styria,,0,1963,1964,Jörg Kandutsch,0,Freedom Party of Austria (FPÖ),FPÖ Steiermark,0
Austria,Styria,Styria,Freedom Party of Styria,,0,1964,1983,Alexander Götz Jr.,0,Freedom Party of Austria (FPÖ),FPÖ Steiermark,0
Austria,Styria,Styria,Freedom Party of Styria,,0,1983,1985,Klaus Turek,0,Freedom Party of Austria (FPÖ),FPÖ Steiermark,0
Austria,Styria,Styria,Freedom Party of Styria,,0,1985,1988,Ludwig Rader,0,Freedom Party of Austria (FPÖ),FPÖ Steiermark,0
Austria,Styria,Styria,Freedom Party of Styria,,0,1988,1989,Klaus Turek,0,Freedom Party of Austria (FPÖ),FPÖ Steiermark,0
Austria,Styria,Styria,Freedom Party of Styria,,0,1989,2000,Michael Schmid,0,Freedom Party of Austria (FPÖ),FPÖ Steiermark,0
Austria,Styria,Styria,Freedom Party of Styria,,0,2000,2006,Leopold Schöggl,0,Freedom Party of Austria (FPÖ),FPÖ Steiermark,0
Austria,Styria,Styria,Freedom Party of Styria,,0,2006,2015,Gerhard Kurzmann,0,Freedom Party of Austria (FPÖ),FPÖ Steiermark,0
Austria,Styria,Styria,Freedom Party of Styria,,0,2015,,Mario Kunasek,0,Freedom Party of Austria (FPÖ),FPÖ Steiermark,0
Austria,Tyrol,Tyrol,Freedom Party of Tyrol,Regional branch established in 1956.,0,1956,1957,Anton Schöpfer,0,Freedom Party of Austria (FPÖ),FPÖ Tirol,0
Austria,Tyrol,Tyrol,Freedom Party of Tyrol,,0,1957,1959,Otto Gamper,0,Freedom Party of Austria (FPÖ),FPÖ Tirol,0
Austria,Tyrol,Tyrol,Freedom Party of Tyrol,,0,1959,1973,Klaus Mahnert,0,Freedom Party of Austria (FPÖ),FPÖ Tirol,0
Austria,Tyrol,Tyrol,Freedom Party of Tyrol,,0,1973,1985,Gerulf Stix,0,Freedom Party of Austria (FPÖ),FPÖ Tirol,0
Austria,Tyrol,Tyrol,Freedom Party of Tyrol,,0,1985,1988,Hermann Eigentler,0,Freedom Party of Austria (FPÖ),FPÖ Tirol,0
Austria,Tyrol,Tyrol,Freedom Party of Tyrol,,0,1988,1989,Siegfried Dillersberger,0,Freedom Party of Austria (FPÖ),FPÖ Tirol,0
Austria,Tyrol,Tyrol,Freedom Party of Tyrol,,0,1989,1997,Johannes Lugger,0,Freedom Party of Austria (FPÖ),FPÖ Tirol,0
Austria,Tyrol,Tyrol,Freedom Party of Tyrol,,0,1997,2000,Franz Linser,0,Freedom Party of Austria (FPÖ),FPÖ Tirol,0
Austria,Tyrol,Tyrol,Freedom Party of Tyrol,,0,2000,2001,Christian Eberharter,0,Freedom Party of Austria (FPÖ),FPÖ Tirol,0
