Country,Region,Party territorial unit,Regional Party Name,Comment,Interim,Year became party chair,Year ended as party chair,Party chair,Female chair,National Party Name,Vernacular Party name,Co-leadership
Austria,Burgenland,Burgenland,Burgenland People's Party,Regional party organization established in 1945.,0,1945,1963,Lorenz Karall,0,Austrian People's Party (ÖVP),Volkspartei Burgenland,0
Austria,Burgenland,Burgenland,Burgenland People's Party,,0,1963,1968,Josef Lentsch,0,Austrian People's Party (ÖVP),Volkspartei Burgenland,0
Austria,Burgenland,Burgenland,Burgenland People's Party,,0,1968,1978,Franz Soronics,0,Austrian People's Party (ÖVP),Volkspartei Burgenland,0
Austria,Burgenland,Burgenland,Burgenland People's Party,,0,1978,1982,Franz Sauerzopf,0,Austrian People's Party (ÖVP),Volkspartei Burgenland,0
Austria,Burgenland,Burgenland,Burgenland People's Party,,0,1982,1985,Rudolf Grohotolsky,0,Austrian People's Party (ÖVP),Volkspartei Burgenland,0
Austria,Burgenland,Burgenland,Burgenland People's Party,,0,1985,1991,Franz Sauerzopf,0,Austrian People's Party (ÖVP),Volkspartei Burgenland,0
Austria,Burgenland,Burgenland,Burgenland People's Party,,0,1991,2001,Gerhard Jellasitz,0,Austrian People's Party (ÖVP),Volkspartei Burgenland,0
Austria,Burgenland,Burgenland,Burgenland People's Party,,0,2001,2015,Franz Steindl,0,Austrian People's Party (ÖVP),Volkspartei Burgenland,0
Austria,Burgenland,Burgenland,Burgenland People's Party,Interim until confirmed as regional party chair later in 2015.,0,2015,2020,Thomas Steiner,0,Austrian People's Party (ÖVP),Volkspartei Burgenland,0
Austria,Burgenland,Burgenland,Burgenland People's Party,Interim from February 2020 until subsequently confirmed as regional party chair.,0,2020,2025,Christian Sagartz,0,Austrian People's Party (ÖVP),Volkspartei Burgenland,0
Austria,Burgenland,Burgenland,Burgenland People's Party,Interim from April 2025 until elected regional party chair later in 2025.,0,2025,,Christoph Zarits,0,Austrian People's Party (ÖVP),Volkspartei Burgenland,0
Austria,Carinthia,Carinthia,Carinthian People's Party,Regional party organization established in 1945.,0,1945,1959,Hermann Gruber,0,Austrian People's Party (ÖVP),Kärntner Volkspartei,0
Austria,Carinthia,Carinthia,Carinthian People's Party,,0,1959,1970,Karl Schleinzer,0,Austrian People's Party (ÖVP),Kärntner Volkspartei,0
Austria,Carinthia,Carinthia,Carinthian People's Party,,0,1970,1978,Herbert Bacher,0,Austrian People's Party (ÖVP),Kärntner Volkspartei,0
Austria,Carinthia,Carinthia,Carinthian People's Party,,0,1978,1986,Stefan Knafl,0,Austrian People's Party (ÖVP),Kärntner Volkspartei,0
Austria,Carinthia,Carinthia,Carinthian People's Party,,0,1986,1989,Harald Scheucher,0,Austrian People's Party (ÖVP),Kärntner Volkspartei,0
Austria,Carinthia,Carinthia,Carinthian People's Party,,0,1989,1999,Christof Zernatto,0,Austrian People's Party (ÖVP),Kärntner Volkspartei,0
Austria,Carinthia,Carinthia,Carinthian People's Party,,0,1999,2000,Reinhold Lexer,0,Austrian People's Party (ÖVP),Kärntner Volkspartei,0
Austria,Carinthia,Carinthia,Carinthian People's Party,,0,2000,2004,Georg Wurmitzer,0,Austrian People's Party (ÖVP),Kärntner Volkspartei,0
Austria,Carinthia,Carinthia,Carinthian People's Party,,0,2004,2012,Josef Martinz,0,Austrian People's Party (ÖVP),Kärntner Volkspartei,0
Austria,Carinthia,Carinthia,Carinthian People's Party,,0,2012,2014,Gabriel Obernosterer,0,Austrian People's Party (ÖVP),Kärntner Volkspartei,0
Austria,Carinthia,Carinthia,Carinthian People's Party,,0,2014,2018,Christian Benger,0,Austrian People's Party (ÖVP),Kärntner Volkspartei,0
Austria,Carinthia,Carinthia,Carinthian People's Party,Interim until elected regional party chair later in 2018.,0,2018,,Martin Gruber,0,Austrian People's Party (ÖVP),Kärntner Volkspartei,0
Austria,Lower Austria,Lower Austria,People's Party of Lower Austria,Regional party organization established in 1945.,0,1945,1959,Julius Raab,0,Austrian People's Party (ÖVP),Volkspartei Niederösterreich,0
Austria,Lower Austria,Lower Austria,People's Party of Lower Austria,,0,1959,1965,Leopold Figl,0,Austrian People's Party (ÖVP),Volkspartei Niederösterreich,0
Austria,Lower Austria,Lower Austria,People's Party of Lower Austria,,0,1965,1966,Eduard Hartmann,0,Austrian People's Party (ÖVP),Volkspartei Niederösterreich,0
Austria,Lower Austria,Lower Austria,People's Party of Lower Austria,,0,1966,1975,Georg Prader,0,Austrian People's Party (ÖVP),Volkspartei Niederösterreich,0
Austria,Lower Austria,Lower Austria,People's Party of Lower Austria,,0,1975,1980,Andreas Maurer,0,Austrian People's Party (ÖVP),Volkspartei Niederösterreich,0
Austria,Lower Austria,Lower Austria,People's Party of Lower Austria,,0,1980,1992,Siegfried Ludwig,0,Austrian People's Party (ÖVP),Volkspartei Niederösterreich,0
Austria,Lower Austria,Lower Austria,People's Party of Lower Austria,,0,1992,2017,Erwin Pröll,0,Austrian People's Party (ÖVP),Volkspartei Niederösterreich,0
Austria,Lower Austria,Lower Austria,People's Party of Lower Austria,,0,2017,,Johanna Mikl-Leitner,1,Austrian People's Party (ÖVP),Volkspartei Niederösterreich,0
Austria,Upper Austria,Upper Austria,Upper Austrian People's Party,Regional party organization established in 1945.,0,1945,1945,Josef Zehetner,0,Austrian People's Party (ÖVP),Oberösterreichische Volkspartei,0
Austria,Upper Austria,Upper Austria,Upper Austrian People's Party,,0,1945,1947,Josef Stampfl,0,Austrian People's Party (ÖVP),Oberösterreichische Volkspartei,0
Austria,Upper Austria,Upper Austria,Upper Austrian People's Party,,0,1947,1951,Albert Schöpf,0,Austrian People's Party (ÖVP),Oberösterreichische Volkspartei,0
Austria,Upper Austria,Upper Austria,Upper Austrian People's Party,,0,1951,1968,Heinrich Gleißner,0,Austrian People's Party (ÖVP),Oberösterreichische Volkspartei,0
Austria,Upper Austria,Upper Austria,Upper Austrian People's Party,,0,1968,1977,Erwin Wenzl,0,Austrian People's Party (ÖVP),Oberösterreichische Volkspartei,0
Austria,Upper Austria,Upper Austria,Upper Austrian People's Party,,0,1977,1995,Josef Ratzenböck,0,Austrian People's Party (ÖVP),Oberösterreichische Volkspartei,0
Austria,Upper Austria,Upper Austria,Upper Austrian People's Party,,0,1995,2017,Josef Pühringer,0,Austrian People's Party (ÖVP),Oberösterreichische Volkspartei,0
Austria,Upper Austria,Upper Austria,Upper Austrian People's Party,,0,2017,,Thomas Stelzer,0,Austrian People's Party (ÖVP),Oberösterreichische Volkspartei,0
Austria,Salzburg,Salzburg,Salzburg People's Party,Regional party organization established in 1945.,0,1945,1946,Hermann Rainer,0,Austrian People's Party (ÖVP),Salzburger Volkspartei,0
Austria,Salzburg,Salzburg,Salzburg People's Party,,0,1946,1947,Martin Gassner,0,Austrian People's Party (ÖVP),Salzburger Volkspartei,0
Austria,Salzburg,Salzburg,Salzburg People's Party,No regional party chair has been identified for 1947-1949.,0,1949,1952,Isidor Grießner,0,Austrian People's Party (ÖVP),Salzburger Volkspartei,0
Austria,Salzburg,Salzburg,Salzburg People's Party,,0,1952,1964,Josef Klaus,0,Austrian People's Party (ÖVP),Salzburger Volkspartei,0
Austria,Salzburg,Salzburg,Salzburg People's Party,,0,1964,1976,Karl Glaser,0,Austrian People's Party (ÖVP),Salzburger Volkspartei,0
Austria,Salzburg,Salzburg,Salzburg People's Party,,0,1976,1989,Wilfried Haslauer senior,0,Austrian People's Party (ÖVP),Salzburger Volkspartei,0
Austria,Salzburg,Salzburg,Salzburg People's Party,,0,1989,1996,Hans Katschthaler,0,Austrian People's Party (ÖVP),Salzburger Volkspartei,0
Austria,Salzburg,Salzburg,Salzburg People's Party,,0,1996,2004,Franz Schausberger,0,Austrian People's Party (ÖVP),Salzburger Volkspartei,0
Austria,Salzburg,Salzburg,Salzburg People's Party,,0,2004,2025,Wilfried Haslauer junior,0,Austrian People's Party (ÖVP),Salzburger Volkspartei,0
