Country,Region,Party territorial unit,Regional Party Name,Comment,Interim,Year became party chair,Year ended as party chair,Party chair,Female chair,National Party Name,Vernacular Party name,Co-leadership
Austria,Burgenland,Burgenland,Social Democratic Party of Burgenland,Regional party organization re-established in 1945 after the prohibition of the Social Democratic Party in 1934.,0,1945,1946,Alexander Stangl,0,Social Democratic Party of Austria (SPÖ),SPÖ Burgenland,0
Austria,Burgenland,Burgenland,Social Democratic Party of Burgenland,,0,1946,1960,Alois Wessely,0,Social Democratic Party of Austria (SPÖ),SPÖ Burgenland,0
Austria,Burgenland,Burgenland,Social Democratic Party of Burgenland,,0,1960,1969,Hans Bögl,0,Social Democratic Party of Austria (SPÖ),SPÖ Burgenland,0
Austria,Burgenland,Burgenland,Social Democratic Party of Burgenland,,0,1969,1987,Theodor Kery,0,Social Democratic Party of Austria (SPÖ),SPÖ Burgenland,0
Austria,Burgenland,Burgenland,Social Democratic Party of Burgenland,,0,1987,1991,Hans Sipötz,0,Social Democratic Party of Austria (SPÖ),SPÖ Burgenland,0
Austria,Burgenland,Burgenland,Social Democratic Party of Burgenland,,0,1991,1998,Karl Stix,0,Social Democratic Party of Austria (SPÖ),SPÖ Burgenland,0
Austria,Burgenland,Burgenland,Social Democratic Party of Burgenland,,0,1998,2000,Manfred Moser,0,Social Democratic Party of Austria (SPÖ),SPÖ Burgenland,0
Austria,Burgenland,Burgenland,Social Democratic Party of Burgenland,,0,2000,2018,Hans Niessl,0,Social Democratic Party of Austria (SPÖ),SPÖ Burgenland,0
Austria,Burgenland,Burgenland,Social Democratic Party of Burgenland,,0,2018,,Hans Peter Doskozil,0,Social Democratic Party of Austria (SPÖ),SPÖ Burgenland,0
Austria,Carinthia,Carinthia,Social Democratic Party of Carinthia,Regional party organization re-established in 1945 after the prohibition of the Social Democratic Party in 1934.,0,1945,1965,Ferdinand Wedenig,0,Social Democratic Party of Austria (SPÖ),SPÖ Kärnten,0
Austria,Carinthia,Carinthia,Social Democratic Party of Carinthia,,0,1965,1973,Hans Sima,0,Social Democratic Party of Austria (SPÖ),SPÖ Kärnten,0
Austria,Carinthia,Carinthia,Social Democratic Party of Carinthia,,0,1973,1988,Leopold Wagner,0,Social Democratic Party of Austria (SPÖ),SPÖ Kärnten,0
Austria,Carinthia,Carinthia,Social Democratic Party of Carinthia,,0,1988,1994,Peter Ambrozy,0,Social Democratic Party of Austria (SPÖ),SPÖ Kärnten,0
Austria,Carinthia,Carinthia,Social Democratic Party of Carinthia,,0,1994,1999,Michael Ausserwinkler,0,Social Democratic Party of Austria (SPÖ),SPÖ Kärnten,0
Austria,Carinthia,Carinthia,Social Democratic Party of Carinthia,,0,1999,1999,Helmut Manzenreiter,0,Social Democratic Party of Austria (SPÖ),SPÖ Kärnten,0
Austria,Carinthia,Carinthia,Social Democratic Party of Carinthia,,1,1999,2000,Melitta Trunk,1,Social Democratic Party of Austria (SPÖ),SPÖ Kärnten,0
Austria,Carinthia,Carinthia,Social Democratic Party of Carinthia,,0,2000,2005,Peter Ambrozy,0,Social Democratic Party of Austria (SPÖ),SPÖ Kärnten,0
Austria,Carinthia,Carinthia,Social Democratic Party of Carinthia,,0,2005,2008,Gaby Schaunig,1,Social Democratic Party of Austria (SPÖ),SPÖ Kärnten,0
Austria,Carinthia,Carinthia,Social Democratic Party of Carinthia,,0,2008,2010,Reinhart Rohr,0,Social Democratic Party of Austria (SPÖ),SPÖ Kärnten,0
Austria,Carinthia,Carinthia,Social Democratic Party of Carinthia,,0,2010,2025,Peter Kaiser,0,Social Democratic Party of Austria (SPÖ),SPÖ Kärnten,0
Austria,Carinthia,Carinthia,Social Democratic Party of Carinthia,,0,2025,,Daniel Fellner,0,Social Democratic Party of Austria (SPÖ),SPÖ Kärnten,0
Austria,Lower Austria,Lower Austria,Social Democratic Party of Lower Austria,Regional party organization re-established in 1945 after the prohibition of the Social Democratic Party in 1934.,0,1945,1956,Oskar Helmer,0,Social Democratic Party of Austria (SPÖ),SPÖ Niederösterreich,0
Austria,Lower Austria,Lower Austria,Social Democratic Party of Lower Austria,,0,1956,1960,Franz Popp,0,Social Democratic Party of Austria (SPÖ),SPÖ Niederösterreich,0
Austria,Lower Austria,Lower Austria,Social Democratic Party of Lower Austria,,0,1960,1966,Ernst Winkler,0,Social Democratic Party of Austria (SPÖ),SPÖ Niederösterreich,0
Austria,Lower Austria,Lower Austria,Social Democratic Party of Lower Austria,,0,1966,1967,Bruno Kreisky,0,Social Democratic Party of Austria (SPÖ),SPÖ Niederösterreich,0
Austria,Lower Austria,Lower Austria,Social Democratic Party of Lower Austria,,1,1967,1968,Otto Tschadek,0,Social Democratic Party of Austria (SPÖ),SPÖ Niederösterreich,0
Austria,Lower Austria,Lower Austria,Social Democratic Party of Lower Austria,,0,1968,1980,Hans Czettel,0,Social Democratic Party of Austria (SPÖ),SPÖ Niederösterreich,0
Austria,Lower Austria,Lower Austria,Social Democratic Party of Lower Austria,,0,1980,1986,Leopold Grünzweig,0,Social Democratic Party of Austria (SPÖ),SPÖ Niederösterreich,0
