Country,Region,Regional Party Name,Comment,Interim,Year became party leader,Year ended as party leader,Party leader,Female party leader (0 = male; 1 = female),National Sister Party,Co-leadership,Source
Canada,Alberta,Conservative Party of Alberta,Regional party established in 1905.,0,1905,1905,Richard Bedford Bennett,0,Conservative,0,
Canada,Alberta,Conservative Party of Alberta,,0,1905,1909,Albert Robertson,0,Conservative,0,
Canada,Alberta,Conservative Party of Alberta,,0,1909,1910,Richard Bedford Bennett,0,Conservative,0,
Canada,Alberta,Conservative Party of Alberta,,0,1910,1917,Edward Michener,0,Conservative,0,
Canada,Alberta,Conservative Party of Alberta,,0,1918,1920,George Hoadley,0,Conservative,0,
Canada,Alberta,Conservative Party of Alberta,,0,1920,1921,James Ramsey,0,Conservative,0,
Canada,Alberta,Conservative Party of Alberta,No party leader has been identified for 1921–1925.,0,1925,1930,Alexander McGillivray,0,Conservative,0,
Canada,Alberta,Conservative Party of Alberta,,0,1930,1942,David Milwyn Duggan,0,Conservative,0,
Canada,Alberta,Conservative Party of Alberta,Party electorally inactive from 1942 to 1952; No party leader has been identified for 1942–1952.,0,1952,1958,John Percy Page,0,Conservative,0,
Canada,Alberta,Conservative Party of Alberta,Changed name to Progressive Conservative Association of Alberta in 1959.,0,1958,1959,Cam Kirby,0,Conservative,0,
Canada,Alberta,Progressive Conservative Association of Alberta,,1,1959,1962,Ernest Watkins,0,Conservative,0,
Canada,Alberta,Progressive Conservative Association of Alberta,,0,1962,1964,Milt Harradence,0,Conservative,0,
Canada,Alberta,Progressive Conservative Association of Alberta,,0,1965,1985,Peter Lougheed,0,Conservative,0,
Canada,Alberta,Progressive Conservative Association of Alberta,,0,1985,1992,Don Getty,0,Conservative,0,
Canada,Alberta,Progressive Conservative Association of Alberta,,0,1992,2006,Ralph Klein,0,Conservative,0,
Canada,Alberta,Progressive Conservative Association of Alberta,,0,2006,2011,Ed Stelmach,0,Conservative,0,
Canada,Alberta,Progressive Conservative Association of Alberta,,0,2011,2014,Alison Redford,1,Conservative,0,
