Country,Region,Regional Party Name,Comment,Interim,Year became party leader,Year ended as party leader,Party leader,Female party leader (0 = male; 1 = female),National Sister Party,Co-leadership,Source
Canada,Alberta,Alberta Greens,Original Alberta Greens established in 1986; the party-leader series begins in 1987.,0,1987,1990,Norman Conrad,0,Green,0,https://en.wikipedia.org/wiki/Alberta_Greens#Leaders
Canada,Alberta,Alberta Greens,,0,1990,1995,Betty Paschen,1,Green,0,
Canada,Alberta,Alberta Greens,,0,1995,2003,David Parker,0,Green,0,
Canada,Alberta,Alberta Greens,,0,2003,2008,George Read,0,Green,0,
Canada,Alberta,Alberta Greens,Party deregistered and dissolved in 2009 after failing to file its annual financial return.,1,2008,2009,Joe Anglin,0,Green,0,
Canada,Alberta,Evergreen Party of Alberta,New party registered in 2011; changed name to Green Party of Alberta in 2012.,1,2011,2012,Larry Ashmore,0,Green,0,https://en.wikipedia.org/wiki/Green_Party_of_Alberta#Leaders
Canada,Alberta,Green Party of Alberta,,0,2012,2017,Janet Keeping,1,Green,0,
Canada,Alberta,Green Party of Alberta,,0,2017,2018,Romy Tittel,1,Green,0,
Canada,Alberta,Green Party of Alberta,,1,2018,2018,Coral Bliss Taylor,1,Green,0,
Canada,Alberta,Green Party of Alberta,,0,2018,2019,Cheryle Chagnon-Greyeyes,1,Green,0,
Canada,Alberta,Green Party of Alberta,,1,2019,2020,William Carnegie,0,Green,0,
Canada,Alberta,Green Party of Alberta,,0,2020,2023,Jordan Wilkie,0,Green,0,
Canada,Alberta,Green Party of Alberta,Appointed interim leader in November 2025 after a two-year leadership vacancy.,1,2025,,James Anderson,1,Green,0,
Canada,British Columbia,Green Party of British Columbia,Regional party established in 1983.,0,1983,1985,Adriane Carr,1,Green,0,https://en.wikipedia.org/wiki/Green_Party_of_British_Columbia
Canada,British Columbia,Green Party of British Columbia,No party leader has been identified for 1985–1993.,0,1993,2000,Stuart Parker,0,Green,0,
Canada,British Columbia,Green Party of British Columbia,,1,2000,2000,Tom Hetherington,0,Green,0,
Canada,British Columbia,Green Party of British Columbia,,0,2000,2006,Adriane Carr,1,Green,0,
Canada,British Columbia,Green Party of British Columbia,No party leader has been identified for 2006–2007.,1,2007,2007,Christopher Bennett,0,Green,0,
Canada,British Columbia,Green Party of British Columbia,,0,2007,2013,Jane Sterk,1,Green,0,
Canada,British Columbia,Green Party of British Columbia,,1,2013,2015,Adam Olsen,0,Green,0,
Canada,British Columbia,Green Party of British Columbia,,0,2015,2020,Andrew Weaver,0,Green,0,
Canada,British Columbia,Green Party of British Columbia,,1,2020,2020,Adam Olsen,0,Green,0,
Canada,British Columbia,Green Party of British Columbia,,0,2020,2025,Sonia Furstenau,1,Green,0,
Canada,British Columbia,Green Party of British Columbia,,1,2025,2025,Jeremy Valeriote,0,Green,0,
Canada,British Columbia,Green Party of British Columbia,,0,2025,,Emily Lowan,1,Green,0,
Canada,Manitoba,Green Party of Manitoba,Regional party established in 1998.,0,1998,2005,Markus Buchart,0,Green,0,https://en.wikipedia.org/wiki/Green_Party_of_Manitoba
Canada,Manitoba,Green Party of Manitoba,,0,2005,2005,Daniel Drimes,0,Green,0,
Canada,Manitoba,Green Party of Manitoba,,0,2005,2006,Holly Nelson,1,Green,0,
Canada,Manitoba,Green Party of Manitoba,,0,2006,2008,Andrew Basham,0,Green,0,
Canada,Manitoba,Green Party of Manitoba,,0,2008,2013,James Beddome,0,Green,0,
Canada,Manitoba,Green Party of Manitoba,,1,2013,2014,Alain Landry,0,Green,0,
Canada,Manitoba,Green Party of Manitoba,,0,2014,2023,James Beddome,0,Green,0,
Canada,Manitoba,Green Party of Manitoba,,0,2023,,Janine Gibson,1,Green,0,
Canada,New Brunswick,Green Party of New Brunswick,Regional party established in 2008.,1,2008,2009,Mike Milligan,0,Green,0,https://en.wikipedia.org/wiki/Green_Party_of_New_Brunswick
Canada,New Brunswick,Green Party of New Brunswick,,1,2009,2009,Erik Millett,0,Green,0,
Canada,New Brunswick,Green Party of New Brunswick,,0,2009,2011,Jack MacDougall,0,Green,0,
Canada,New Brunswick,Green Party of New Brunswick,,1,2011,2012,Greta Doucet,1,Green,0,
Canada,New Brunswick,Green Party of New Brunswick,,0,2012,,David Coon,0,Green,0,
