Country,Region,Regional Party Name,Comment,Interim,Year became party leader,Year ended as party leader,Party leader,Female party leader,National Sister Party,Co-leadership,Source
Canada,Alberta,Alberta Liberal Party,Regional party established in 1905.,0,1905,1910,Alexander Rutherford,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,1910,1917,Arthur Sifton,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,1917,1922,Charles Stewart,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,1922,1924,John Boyle,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,1924,1926,Charles Richmond Mitchell,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,1,1926,1926,John Campbell Bowen,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,1926,1930,Joseph Tweed Shaw,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,1930,1932,John McDonald,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,Overlaps with McDonald as party leader.,0,1931,1932,George Webster,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,Interim leader after McDonald.,1,1932,1932,George Webster,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,1932,1937,William Howson,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,1937,1941,Edward Leslie Gray,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,1,1941,1941,Robert Barrowman,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,1941,1946,Hugh John Montgomery,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,1946,1947,Wesley Stambaugh,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,1947,1958,James Prowse,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,1958,1960,Grant MacEwan,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,Leader of the Liberal caucus in the Legislative Assembly.,0,1960,1962,Michael Maccagno,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,1962,1964,David Hunter,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,1,1964,1966,Michael Maccagno,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,1966,1966,Adrian Berry,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,Acting leader after Adrian Berry's resignation.,1,1966,1969,Michael Maccagno,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,1969,1970,John T. Lowery,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,1971,1974,Robert Russell,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,1974,1988,Nicholas Taylor,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,1988,1994,Laurence Decore,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,1,1994,1994,Bettie Hewes,1,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,1994,1998,Grant Mitchell,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,1998,2001,Nancy MacBeth,1,Liberal,0,
Canada,Alberta,Alberta Liberal Party,Interim until acclaimed permanent leader later in 2001.,0,2001,2004,Ken Nicol,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,1,2004,2004,Don Massey,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,2004,2008,Kevin Taft,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,2008,2011,David Swann,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,2011,2015,Raj Sherman,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,1,2015,2017,David Swann,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,,0,2017,2020,David Khan,0,Liberal,0,
Canada,Alberta,Alberta Liberal Party,Interim until appointed permanent leader in 2022; serving as interim again while a successor is selected after announcing his resignation in 2025.,0,2021,,John Roggeveen,0,Liberal,0,
Canada,British Columbia,British Columbia Liberal Party,Regional party series begins in 1902; the party was formally organized in 1903.,0,1902,1903,Joseph Martin,0,Liberal,0,
Canada,British Columbia,British Columbia Liberal Party,,0,1903,1909,James Alexander MacDonald,0,Liberal,0,
Canada,British Columbia,British Columbia Liberal Party,,0,1909,1912,John Oliver,0,Liberal,0,
Canada,British Columbia,British Columbia Liberal Party,,0,1912,1918,Harlan Carey Brewster,0,Liberal,0,
Canada,British Columbia,British Columbia Liberal Party,,0,1918,1927,John Oliver,0,Liberal,0,
Canada,British Columbia,British Columbia Liberal Party,,0,1927,1928,John Duncan MacLean,0,Liberal,0,
Canada,British Columbia,British Columbia Liberal Party,Interim until 1929; Interim until becoming permanent leader in 1929.,0,1928,1941,Thomas Dufferin Pattullo,0,Liberal,0,
Canada,British Columbia,British Columbia Liberal Party,,0,1941,1947,John Hart,0,Liberal,0,
Canada,British Columbia,British Columbia Liberal Party,,0,1947,1953,Byron Ingemar Johnson,0,Liberal,0,
Canada,British Columbia,British Columbia Liberal Party,,0,1953,1959,Arthur Laing,0,Liberal,0,
Canada,British Columbia,British Columbia Liberal Party,,0,1959,1968,Ray Perrault,0,Liberal,0,
Canada,British Columbia,British Columbia Liberal Party,,0,1968,1972,Patrick Lucey McGeer,0,Liberal,0,
Canada,British Columbia,British Columbia Liberal Party,,0,1972,1975,David Anderson,0,Liberal,0,
Canada,British Columbia,British Columbia Liberal Party,,0,1975,1979,Gordon Gibson,0,Liberal,0,
Canada,British Columbia,British Columbia Liberal Party,,0,1979,1981,Jev Tothill,0,Liberal,0,
Canada,British Columbia,British Columbia Liberal Party,,0,1981,1984,Shirley McLoughlin,1,Liberal,0,
Canada,British Columbia,British Columbia Liberal Party,,0,1984,1987,Art Lee,0,Liberal,0,
Canada,British Columbia,British Columbia Liberal Party,,0,1987,1993,Gordon Wilson,0,Liberal,0,
