Country,Region,Regional Party Name,Comment,Interim,Year became party leader,Year ended as party leader,Party leader,Female party leader,National Sister Party,Co-leadership
Canada,Alberta,Alberta Co-operative Commonwealth Federation,Regional CCF branch established in 1932; the party-leader series begins in 1940.,0,1940,1942,Chester Ronning,0,CCF-NDP,0
Canada,Alberta,Alberta Co-operative Commonwealth Federation,,0,1942,1955,Elmer Roper,0,CCF-NDP,0
Canada,Alberta,Alberta Co-operative Commonwealth Federation,No party leader has been identified for 1955–1957.,0,1957,1962,Floyd Albin Johnson,0,CCF-NDP,0
Canada,Alberta,Alberta New Democratic Party,,0,1963,1968,Neil Reimer,0,CCF-NDP,0
Canada,Alberta,Alberta New Democratic Party,,0,1968,1984,Grant Notley,0,CCF-NDP,0
Canada,Alberta,Alberta New Democratic Party,,0,1984,1994,Ray Martin,0,CCF-NDP,0
Canada,Alberta,Alberta New Democratic Party,,0,1994,1996,Ross Harvey,0,CCF-NDP,0
Canada,Alberta,Alberta New Democratic Party,,0,1996,2000,Pam Barrett,1,CCF-NDP,0
Canada,Alberta,Alberta New Democratic Party,,0,2000,2004,Raj Pannu,0,CCF-NDP,0
Canada,Alberta,Alberta New Democratic Party,,0,2004,2014,Brian Mason,0,CCF-NDP,0
Canada,Alberta,Alberta New Democratic Party,,0,2014,2024,Rachel Notley,1,CCF-NDP,0
Canada,Alberta,Alberta New Democratic Party,,0,2024,,Naheed Nenshi,0,CCF-NDP,0
Canada,British Columbia,British Columbia Co-operative Commonwealth Federation,Regional CCF branch established in 1933.,0,1933,1936,Robert Connell,0,CCF-NDP,0
Canada,British Columbia,British Columbia Co-operative Commonwealth Federation,,0,1936,1953,Harold Edward Winch,0,CCF-NDP,0
Canada,British Columbia,British Columbia Co-operative Commonwealth Federation,,0,1953,1956,Arnold Webster,0,CCF-NDP,0
Canada,British Columbia,British Columbia Co-operative Commonwealth Federation,Changed name to British Columbia New Democratic Party in 1961.,0,1956,1969,Robert Strachan,0,CCF-NDP,0
Canada,British Columbia,British Columbia New Democratic Party,,0,1969,1969,Thomas Rodney Berger,0,CCF-NDP,0
Canada,British Columbia,British Columbia New Democratic Party,"Interim leader until the 1970 leadership convention, when acclaimed permanent leader.",0,1969,1984,Dave Barrett,0,CCF-NDP,0
Canada,British Columbia,British Columbia New Democratic Party,,0,1984,1987,Bob Skelly,0,CCF-NDP,0
Canada,British Columbia,British Columbia New Democratic Party,,0,1987,1996,Michael Harcourt,0,CCF-NDP,0
Canada,British Columbia,British Columbia New Democratic Party,,0,1996,1999,Glen Clark,0,CCF-NDP,0
Canada,British Columbia,British Columbia New Democratic Party,,1,1999,2000,Dan Miller,0,CCF-NDP,0
Canada,British Columbia,British Columbia New Democratic Party,,0,2000,2001,Ujjal Dosanjh,0,CCF-NDP,0
Canada,British Columbia,British Columbia New Democratic Party,,1,2001,2003,Joy MacPhail,1,CCF-NDP,0
Canada,British Columbia,British Columbia New Democratic Party,,0,2003,2011,Carole James,1,CCF-NDP,0
Canada,British Columbia,British Columbia New Democratic Party,,1,2011,2011,Dawn Black,1,CCF-NDP,0
Canada,British Columbia,British Columbia New Democratic Party,,0,2011,2014,Adrian Dix,0,CCF-NDP,0
Canada,British Columbia,British Columbia New Democratic Party,,0,2014,2022,John Horgan,0,CCF-NDP,0
Canada,British Columbia,British Columbia New Democratic Party,,0,2022,,David Eby,0,CCF-NDP,0
Canada,Manitoba,Manitoba Co-operative Commonwealth Federation,Regional CCF branch established in 1932; this series begins in 1953.,0,1953,1960,Lloyd Stinson,0,CCF-NDP,0
Canada,Manitoba,Manitoba Co-operative Commonwealth Federation,Changed name to New Democratic Party of Manitoba in 1961.,0,1960,1969,Andrew Russell Paulley,0,CCF-NDP,0
Canada,Manitoba,New Democratic Party of Manitoba,,0,1969,1979,Ed Schreyer,0,CCF-NDP,0
Canada,Manitoba,New Democratic Party of Manitoba,,0,1979,1988,Howard Pawley,0,CCF-NDP,0
Canada,Manitoba,New Democratic Party of Manitoba,,0,1988,2009,Gary Doer,0,CCF-NDP,0
Canada,Manitoba,New Democratic Party of Manitoba,,0,2009,2016,Greg Selinger,0,CCF-NDP,0
Canada,Manitoba,New Democratic Party of Manitoba,,1,2016,2017,Flor Marcelino,1,CCF-NDP,0
Canada,Manitoba,New Democratic Party of Manitoba,,0,2017,,Wab Kinew,0,CCF-NDP,0
Canada,New Brunswick,New Brunswick New Democratic Party,Regional NDP branch established in 1962; the first party leader identified begins in 1965.,0,1965,1968,Jack Currie,0,CCF-NDP,0
Canada,New Brunswick,New Brunswick New Democratic Party,No party leader has been identified for 1968–1970.,0,1970,1971,J. Albert Richardson,0,CCF-NDP,0
Canada,New Brunswick,New Brunswick New Democratic Party,"Disputed leadership during the New Brunswick Waffle split; after the contested October 1971 convention, the federal NDP suspended the provincial party and called a special convention in November 1971, which Callaghan did not attend.",0,1971,1971,Pat Callaghan,0,CCF-NDP,0
Canada,New Brunswick,New Brunswick New Democratic Party,No party leader has been identified for 1968–1970.,0,1971,1976,J. Albert Richardson,0,CCF-NDP,0
Canada,New Brunswick,New Brunswick New Democratic Party,,0,1976,1980,John LaBossiere,0,CCF-NDP,0
Canada,New Brunswick,New Brunswick New Democratic Party,,0,1980,1988,George Little,0,CCF-NDP,0
Canada,New Brunswick,New Brunswick New Democratic Party,,1,1988,1988,Robert Hall,0,CCF-NDP,0
Canada,New Brunswick,New Brunswick New Democratic Party,,0,1988,2005,Elizabeth Weir,1,CCF-NDP,0
Canada,New Brunswick,New Brunswick New Democratic Party,,0,2005,2006,Allison Brewer,1,CCF-NDP,0
Canada,New Brunswick,New Brunswick New Democratic Party,,1,2006,2007,Pat Hanratty,0,CCF-NDP,0
Canada,New Brunswick,New Brunswick New Democratic Party,,0,2007,2010,Roger Duguay,0,CCF-NDP,0
Canada,New Brunswick,New Brunswick New Democratic Party,,1,2010,2011,Jesse Travis,0,CCF-NDP,0
Canada,New Brunswick,New Brunswick New Democratic Party,,0,2011,2017,Dominic Cardy,0,CCF-NDP,0
Canada,New Brunswick,New Brunswick New Democratic Party,,1,2017,2017,Rosaire L'Italien,0,CCF-NDP,0
Canada,New Brunswick,New Brunswick New Democratic Party,,0,2017,2019,Jennifer McKenzie,1,CCF-NDP,0
