Country,Region,Party territorial unit,Regional Party Name,Comment,Interim,Year became party chair,Year ended as party chair,Party chair,Female chair,National Party Name,Vernacular Party Name,Co-leadership
Germany,Baden-Württemberg,Baden-Württemberg,Christian Democratic Union of Baden-Württemberg,Regional branch established in 1971 through the merger of four predecessor state organizations.,0,1971,1979,Hans Filbinger,0,Christian Democratic Union of Germany (CDU),CDU Baden-Württemberg,0
Germany,Baden-Württemberg,Baden-Württemberg,Christian Democratic Union of Baden-Württemberg,,0,1979,1991,Lothar Späth,0,Christian Democratic Union of Germany (CDU),CDU Baden-Württemberg,0
Germany,Baden-Württemberg,Baden-Württemberg,Christian Democratic Union of Baden-Württemberg,,0,1991,2005,Erwin Teufel,0,Christian Democratic Union of Germany (CDU),CDU Baden-Württemberg,0
Germany,Baden-Württemberg,Baden-Württemberg,Christian Democratic Union of Baden-Württemberg,,0,2005,2009,Günther Oettinger,0,Christian Democratic Union of Germany (CDU),CDU Baden-Württemberg,0
Germany,Baden-Württemberg,Baden-Württemberg,Christian Democratic Union of Baden-Württemberg,,0,2009,2011,Stefan Mappus,0,Christian Democratic Union of Germany (CDU),CDU Baden-Württemberg,0
Germany,Baden-Württemberg,Baden-Württemberg,Christian Democratic Union of Baden-Württemberg,,0,2011,2023,Thomas Strobl,0,Christian Democratic Union of Germany (CDU),CDU Baden-Württemberg,0
Germany,Baden-Württemberg,Baden-Württemberg,Christian Democratic Union of Baden-Württemberg,,0,2023,,Manuel Hagel,0,Christian Democratic Union of Germany (CDU),CDU Baden-Württemberg,0
Germany,Bavaria,Bavaria,Christian Social Union in Bavaria,Regional branch established in 1945. Interim from December 1945 until formally confirmed as party chair in 1946.,0,1945,1949,Josef Müller,0,Christian Social Union in Bavaria (CSU),Christlich-Soziale Union in Bayern,0
Germany,Bavaria,Bavaria,Christian Social Union in Bavaria,,0,1949,1955,Hans Ehard,0,Christian Social Union in Bavaria (CSU),Christlich-Soziale Union in Bayern,0
Germany,Bavaria,Bavaria,Christian Social Union in Bavaria,,0,1955,1961,Hanns Seidel,0,Christian Social Union in Bavaria (CSU),Christlich-Soziale Union in Bayern,0
Germany,Bavaria,Bavaria,Christian Social Union in Bavaria,,0,1961,1988,Franz Josef Strauß,0,Christian Social Union in Bavaria (CSU),Christlich-Soziale Union in Bayern,0
Germany,Bavaria,Bavaria,Christian Social Union in Bavaria,,0,1988,1999,Theo Waigel,0,Christian Social Union in Bavaria (CSU),Christlich-Soziale Union in Bayern,0
Germany,Bavaria,Bavaria,Christian Social Union in Bavaria,,0,1999,2007,Edmund Stoiber,0,Christian Social Union in Bavaria (CSU),Christlich-Soziale Union in Bayern,0
Germany,Bavaria,Bavaria,Christian Social Union in Bavaria,,0,2007,2008,Erwin Huber,0,Christian Social Union in Bavaria (CSU),Christlich-Soziale Union in Bayern,0
Germany,Bavaria,Bavaria,Christian Social Union in Bavaria,,0,2008,2019,Horst Seehofer,0,Christian Social Union in Bavaria (CSU),Christlich-Soziale Union in Bayern,0
Germany,Bavaria,Bavaria,Christian Social Union in Bavaria,,0,2019,,Markus Söder,0,Christian Social Union in Bavaria (CSU),Christlich-Soziale Union in Bayern,0
Germany,Berlin,Berlin,Christian Democratic Union of Berlin,Regional branch established in 1945.,0,1945,1946,Karl Brammer,0,Christian Democratic Union of Germany (CDU),CDU Berlin,0
Germany,Berlin,Berlin,Christian Democratic Union of Berlin,,0,1946,1947,Kurt Landsberg,0,Christian Democratic Union of Germany (CDU),CDU Berlin,0
Germany,Berlin,Berlin,Christian Democratic Union of Berlin,,0,1947,1952,Walther Schreiber,0,Christian Democratic Union of Germany (CDU),CDU Berlin,0
Germany,Berlin,Berlin,Christian Democratic Union of Berlin,,0,1952,1955,Robert Tillmanns,0,Christian Democratic Union of Germany (CDU),CDU Berlin,0
Germany,Berlin,Berlin,Christian Democratic Union of Berlin,,0,1955,1961,Ernst Lemmer,0,Christian Democratic Union of Germany (CDU),CDU Berlin,0
Germany,Berlin,Berlin,Christian Democratic Union of Berlin,,0,1961,1969,Franz Amrehn,0,Christian Democratic Union of Germany (CDU),CDU Berlin,0
Germany,Berlin,Berlin,Christian Democratic Union of Berlin,,0,1969,1981,Peter Lorenz,0,Christian Democratic Union of Germany (CDU),CDU Berlin,0
Germany,Berlin,Berlin,Christian Democratic Union of Berlin,,0,1981,1983,Richard von Weizsäcker,0,Christian Democratic Union of Germany (CDU),CDU Berlin,0
Germany,Berlin,Berlin,Christian Democratic Union of Berlin,,0,1983,2002,Eberhard Diepgen,0,Christian Democratic Union of Germany (CDU),CDU Berlin,0
Germany,Berlin,Berlin,Christian Democratic Union of Berlin,,0,2002,2003,Christoph Stölzl,0,Christian Democratic Union of Germany (CDU),CDU Berlin,0
Germany,Berlin,Berlin,Christian Democratic Union of Berlin,,0,2003,2005,Joachim Zeller,0,Christian Democratic Union of Germany (CDU),CDU Berlin,0
Germany,Berlin,Berlin,Christian Democratic Union of Berlin,,0,2005,2008,Ingo Schmitt,0,Christian Democratic Union of Germany (CDU),CDU Berlin,0
Germany,Berlin,Berlin,Christian Democratic Union of Berlin,,1,2008,2008,Joachim Zeller,0,Christian Democratic Union of Germany (CDU),CDU Berlin,0
Germany,Berlin,Berlin,Christian Democratic Union of Berlin,,0,2008,2016,Frank Henkel,0,Christian Democratic Union of Germany (CDU),CDU Berlin,0
Germany,Berlin,Berlin,Christian Democratic Union of Berlin,,0,2016,2019,Monika Grütters,1,Christian Democratic Union of Germany (CDU),CDU Berlin,0
Germany,Berlin,Berlin,Christian Democratic Union of Berlin,,0,2019,2026,Kai Wegner,0,Christian Democratic Union of Germany (CDU),CDU Berlin,0
Germany,Berlin,Berlin,Christian Democratic Union of Berlin,,1,2026,,Stefan Evers,0,Christian Democratic Union of Germany (CDU),CDU Berlin,0
