Country,Region,Party territorial unit,Regional Party Name,Comment,Interim,Year became party chair,Year ended as party chair,Party chair,Female chair,National Party Name,Vernacular Party Name,Co-leadership
Germany,Baden-Württemberg,Baden-Württemberg,Social Democratic Party of Baden-Württemberg,Regional branch established in 1952.,0,1952,1962,Erwin Schoettle,0,Social Democratic Party of Germany (SPD),SPD Baden-Württemberg,0
Germany,Baden-Württemberg,Baden-Württemberg,Social Democratic Party of Baden-Württemberg,,0,1962,1966,Alex Möller,0,Social Democratic Party of Germany (SPD),SPD Baden-Württemberg,0
Germany,Baden-Württemberg,Baden-Württemberg,Social Democratic Party of Baden-Württemberg,,0,1966,1968,Walter Krause,0,Social Democratic Party of Germany (SPD),SPD Baden-Württemberg,0
Germany,Baden-Württemberg,Baden-Württemberg,Social Democratic Party of Baden-Württemberg,,0,1968,1973,Heinz Bühringer,0,Social Democratic Party of Germany (SPD),SPD Baden-Württemberg,0
Germany,Baden-Württemberg,Baden-Württemberg,Social Democratic Party of Baden-Württemberg,,0,1973,1981,Erhard Eppler,0,Social Democratic Party of Germany (SPD),SPD Baden-Württemberg,0
Germany,Baden-Württemberg,Baden-Württemberg,Social Democratic Party of Baden-Württemberg,,0,1981,1987,Ulrich Lang,0,Social Democratic Party of Germany (SPD),SPD Baden-Württemberg,0
Germany,Baden-Württemberg,Baden-Württemberg,Social Democratic Party of Baden-Württemberg,,0,1987,1999,Ulrich Maurer,0,Social Democratic Party of Germany (SPD),SPD Baden-Württemberg,0
Germany,Baden-Württemberg,Baden-Württemberg,Social Democratic Party of Baden-Württemberg,,0,1999,2009,Ute Vogt,1,Social Democratic Party of Germany (SPD),SPD Baden-Württemberg,0
Germany,Baden-Württemberg,Baden-Württemberg,Social Democratic Party of Baden-Württemberg,,0,2009,2016,Nils Schmid,0,Social Democratic Party of Germany (SPD),SPD Baden-Württemberg,0
Germany,Baden-Württemberg,Baden-Württemberg,Social Democratic Party of Baden-Württemberg,,0,2016,2018,Leni Breymaier,1,Social Democratic Party of Germany (SPD),SPD Baden-Württemberg,0
Germany,Baden-Württemberg,Baden-Württemberg,Social Democratic Party of Baden-Württemberg,,0,2018,2026,Andreas Stoch,0,Social Democratic Party of Germany (SPD),SPD Baden-Württemberg,0
Germany,Baden-Württemberg,Baden-Württemberg,Social Democratic Party of Baden-Württemberg,Co-leader with Robin Mesarosch.,0,2026,,Isabel Cademartori,1,Social Democratic Party of Germany (SPD),SPD Baden-Württemberg,1
Germany,Baden-Württemberg,Baden-Württemberg,Social Democratic Party of Baden-Württemberg,Co-leader with Isabel Cademartori.,0,2026,,Robin Mesarosch,0,Social Democratic Party of Germany (SPD),SPD Baden-Württemberg,1
Germany,Bavaria,Bavaria,Social Democratic Party of Bavaria,Regional branch established in 1892. Co-leader with Wilhelm Hoegner.,0,1946,1947,Lisa Albrecht,1,Social Democratic Party of Germany (SPD),BayernSPD,1
Germany,Bavaria,Bavaria,Social Democratic Party of Bavaria,Co-leader with Lisa Albrecht.,0,1946,1947,Wilhelm Hoegner,0,Social Democratic Party of Germany (SPD),BayernSPD,1
Germany,Bavaria,Bavaria,Social Democratic Party of Bavaria,,0,1947,1963,Waldemar von Knoeringen,0,Social Democratic Party of Germany (SPD),BayernSPD,0
Germany,Bavaria,Bavaria,Social Democratic Party of Bavaria,,0,1963,1972,Volkmar Gabert,0,Social Democratic Party of Germany (SPD),BayernSPD,0
Germany,Bavaria,Bavaria,Social Democratic Party of Bavaria,,0,1972,1977,Hans-Jochen Vogel,0,Social Democratic Party of Germany (SPD),BayernSPD,0
Germany,Bavaria,Bavaria,Social Democratic Party of Bavaria,,0,1977,1985,Helmut Rothemund,0,Social Democratic Party of Germany (SPD),BayernSPD,0
Germany,Bavaria,Bavaria,Social Democratic Party of Bavaria,,0,1985,1991,Rudolf Schöfberger,0,Social Democratic Party of Germany (SPD),BayernSPD,0
Germany,Bavaria,Bavaria,Social Democratic Party of Bavaria,,0,1991,2000,Renate Schmidt,1,Social Democratic Party of Germany (SPD),BayernSPD,0
Germany,Bavaria,Bavaria,Social Democratic Party of Bavaria,,0,2000,2003,Wolfgang Hoderlein,0,Social Democratic Party of Germany (SPD),BayernSPD,0
Germany,Bavaria,Bavaria,Social Democratic Party of Bavaria,,0,2003,2009,Ludwig Stiegler,0,Social Democratic Party of Germany (SPD),BayernSPD,0
Germany,Bavaria,Bavaria,Social Democratic Party of Bavaria,,0,2009,2017,Florian Pronold,0,Social Democratic Party of Germany (SPD),BayernSPD,0
Germany,Bavaria,Bavaria,Social Democratic Party of Bavaria,,0,2017,2021,Natascha Kohnen,1,Social Democratic Party of Germany (SPD),BayernSPD,0
Germany,Bavaria,Bavaria,Social Democratic Party of Bavaria,Co-leader with Ronja Endres.,0,2021,2024,Florian von Brunn,0,Social Democratic Party of Germany (SPD),BayernSPD,1
Germany,Bavaria,Bavaria,Social Democratic Party of Bavaria,Co-leader with Florian von Brunn until 2024; sole chair from 2024 to 2025; co-leader with Sebastian Roloff since 2025.,0,2021,,Ronja Endres,1,Social Democratic Party of Germany (SPD),BayernSPD,1
Germany,Bavaria,Bavaria,Social Democratic Party of Bavaria,Co-leader with Ronja Endres.,0,2025,,Sebastian Roloff,0,Social Democratic Party of Germany (SPD),BayernSPD,1
Germany,Berlin,Berlin,Social Democratic Party of Berlin,Regional branch established in 1945.,0,1945,1946,Hermann Harnisch,0,Social Democratic Party of Germany (SPD),SPD Berlin,0
Germany,Berlin,Berlin,Social Democratic Party of Berlin,,0,1946,1958,Franz Neumann,0,Social Democratic Party of Germany (SPD),SPD Berlin,0
Germany,Berlin,Berlin,Social Democratic Party of Berlin,,0,1958,1963,Willy Brandt,0,Social Democratic Party of Germany (SPD),SPD Berlin,0
Germany,Berlin,Berlin,Social Democratic Party of Berlin,,0,1963,1968,Kurt Mattick,0,Social Democratic Party of Germany (SPD),SPD Berlin,0
Germany,Berlin,Berlin,Social Democratic Party of Berlin,,0,1968,1977,Klaus Schütz,0,Social Democratic Party of Germany (SPD),SPD Berlin,0
Germany,Berlin,Berlin,Social Democratic Party of Berlin,,0,1977,1979,Gerd Löffler,0,Social Democratic Party of Germany (SPD),SPD Berlin,0
Germany,Berlin,Berlin,Social Democratic Party of Berlin,,0,1979,1981,Dietrich Stobbe,0,Social Democratic Party of Germany (SPD),SPD Berlin,0
Germany,Berlin,Berlin,Social Democratic Party of Berlin,,0,1981,1981,Peter Glotz,0,Social Democratic Party of Germany (SPD),SPD Berlin,0
Germany,Berlin,Berlin,Social Democratic Party of Berlin,,0,1981,1985,Peter Ulrich,0,Social Democratic Party of Germany (SPD),SPD Berlin,0
Germany,Berlin,Berlin,Social Democratic Party of Berlin,,0,1985,1986,Jürgen Egert,0,Social Democratic Party of Germany (SPD),SPD Berlin,0
Germany,Berlin,Berlin,Social Democratic Party of Berlin,,0,1986,1992,Walter Momper,0,Social Democratic Party of Germany (SPD),SPD Berlin,0
Germany,Berlin,Berlin,Social Democratic Party of Berlin,,0,1992,1994,Ditmar Staffelt,0,Social Democratic Party of Germany (SPD),SPD Berlin,0
Germany,Berlin,Berlin,Social Democratic Party of Berlin,,0,1994,1999,Detlef Dzembritzki,0,Social Democratic Party of Germany (SPD),SPD Berlin,0
Germany,Berlin,Berlin,Social Democratic Party of Berlin,,0,1999,2004,Peter Strieder,0,Social Democratic Party of Germany (SPD),SPD Berlin,0
Germany,Berlin,Berlin,Social Democratic Party of Berlin,,0,1999,2004,Peter Strieder,0,Social Democratic Party of Germany (SPD),SPD Berlin,0
Germany,Berlin,Berlin,Social Democratic Party of Berlin,,0,2004,2012,Michael Müller,0,Social Democratic Party of Germany (SPD),SPD Berlin,0
Germany,Berlin,Berlin,Social Democratic Party of Berlin,,0,2012,2016,Jan Stöß,0,Social Democratic Party of Germany (SPD),SPD Berlin,0
Germany,Berlin,Berlin,Social Democratic Party of Berlin,,0,2016,2020,Michael Müller,0,Social Democratic Party of Germany (SPD),SPD Berlin,0
Germany,Berlin,Berlin,Social Democratic Party of Berlin,Co-leader with Raed Saleh.,0,2020,2024,Franziska Giffey,1,Social Democratic Party of Germany (SPD),SPD Berlin,1
Germany,Berlin,Berlin,Social Democratic Party of Berlin,Co-leader with Franziska Giffey.,0,2020,2024,Raed Saleh,0,Social Democratic Party of Germany (SPD),SPD Berlin,1
Germany,Berlin,Berlin,Social Democratic Party of Berlin,Co-leader with Martin Hikel.,0,2024,2025,Nicola Böcker-Giannini,1,Social Democratic Party of Germany (SPD),SPD Berlin,1
Germany,Berlin,Berlin,Social Democratic Party of Berlin,Co-leader with Nicola Böcker-Giannini. Position vacant from 2025 to 2026.,0,2024,2025,Martin Hikel,0,Social Democratic Party of Germany (SPD),SPD Berlin,1
Germany,Berlin,Berlin,Social Democratic Party of Berlin,Co-leader with Steffen Krach.,0,2026,,Bettina König,1,Social Democratic Party of Germany (SPD),SPD Berlin,1
Germany,Berlin,Berlin,Social Democratic Party of Berlin,Co-leader with Bettina König.,0,2026,,Steffen Krach,0,Social Democratic Party of Germany (SPD),SPD Berlin,1
Germany,Brandenburg,Brandenburg,Social Democratic Party of Brandenburg,Regional branch established in 1990.,0,1990,1990,Ibrahim Böhme,0,Social Democratic Party of Germany (SPD),SPD Brandenburg,0
Germany,Brandenburg,Brandenburg,Social Democratic Party of Brandenburg,,0,1990,2000,Steffen Reiche,0,Social Democratic Party of Germany (SPD),SPD Brandenburg,0
Germany,Brandenburg,Brandenburg,Social Democratic Party of Brandenburg,,0,2000,2013,Matthias Platzeck,0,Social Democratic Party of Germany (SPD),SPD Brandenburg,0
